GENER00  1.00e+25  1.00e-06                                0.00  
VERTICES
  a      0.00      0.00
  b     20.00      0.00
  c     40.00      0.00
  d     60.00      0.00
  e     80.00      0.00
  f    100.00      0.00
  g    120.00      0.00
  h    140.00      0.00
  i    160.00      0.00
  j    180.00      0.00
  k    200.00      0.00
  l    220.00      0.00
  m    240.00      0.00
  n    260.00      0.00
  o    280.00      0.00
  p    300.00      0.00
  q    320.00      0.00
  r    340.00      0.00
  s    360.00      0.00
  t    380.00      0.00
  u    400.00      0.00
  v    420.00      0.00
  w    440.00      0.00
  x    460.00      0.00
  y    480.00      0.00
  z    500.00      0.00
 aa    520.00      0.00
 ab    540.00      0.00
 ac    560.00      0.00
 ad    580.00      0.00
 ae    600.00      0.00
 af    620.00      0.00
 ag    640.00      0.00
 ah    660.00      0.00
 ai    680.00      0.00
 aj    700.00      0.00
 ak    720.00      0.00
 al    740.00      0.00
 am    760.00      0.00
 an    780.00      0.00
 ao    800.00      0.00
 ap    820.00      0.00
 aq    840.00      0.00
 ar    860.00      0.00
 as    880.00      0.00
 at    900.00      0.00
 au    920.00      0.00
 av    940.00      0.00
 aw    960.00      0.00
 ax    980.00      0.00
 ay   1000.00      0.00
 az      0.00     20.00
 ba     20.00     20.00
 bb     40.00     20.00
 bc     60.00     20.00
 bd     80.00     20.00
 be    100.00     20.00
 bf    120.00     20.00
 bg    140.00     20.00
 bh    160.00     20.00
 bi    180.00     20.00
 bj    200.00     20.00
 bk    220.00     20.00
 bl    240.00     20.00
 bm    260.00     20.00
 bn    280.00     20.00
 bo    300.00     20.00
 bp    320.00     20.00
 bq    340.00     20.00
 br    360.00     20.00
 bs    380.00     20.00
 bt    400.00     20.00
 bu    420.00     20.00
 bv    440.00     20.00
 bw    460.00     20.00
 bx    480.00     20.00
 by    500.00     20.00
 bz    520.00     20.00
 ca    540.00     20.00
 cb    560.00     20.00
 cc    580.00     20.00
 cd    600.00     20.00
 ce    620.00     20.00
 cf    640.00     20.00
 cg    660.00     20.00
 ch    680.00     20.00
 ci    700.00     20.00
 cj    720.00     20.00
 ck    740.00     20.00
 cl    760.00     20.00
